Translation Keys,en-US,zh-CN
Last Week,Last Week,
Latest Orders,Latest Orders,
Latest Products,Latest Products,
Paid Orders Count,Paid Orders Count,
QOR DEMO,QOR DEMO,
Registered Users Count,Registered Users Count,
Reports,Reports,
This Week,This Week,
Update Report,Update Report,
Yesterday,Yesterday,
auth.confirmations.resend_confirmation,Resend Confirmation,
auth.form.email,Email,
auth.form.email_placeholder,email address,
auth.form.forgot_password,Continue,
auth.form.new_password,New Password,
auth.form.new_password_placeholder,Enter your new password,
auth.form.password,Password,
auth.form.password_confirm,Confirm Password,
auth.form.password_confirm_placeholder,Confirm Password,
auth.form.password_placeholder,Password,
auth.form.reset_password,Reset password,
auth.form.sign_in,Sign in,
auth.form.sign_up,Sign Up,
auth.links.forgot_password,Forgot Password?,
auth.links.sign_in,Already registered? Sign in,
auth.links.sign_in_with,Sign in with {{$1}},
auth.links.sign_up,Don't have an account? Click here to sign up.,
auth.or_sign_in_with,OR SIGN IN WITH,
auth.passwords.forgot_password,Forgot Password?,
auth.passwords.forgot_password_desc,Enter your email address & we'll send you a link to reset your password.,
auth.passwords.reset_password,Reset your password,
auth.sign_in,Sign In,
auth.sign_up,Sign Up,
en-US,en-US,
export_translation_arguments.attributes.Scope,,Scope
export_translation_arguments.attributes.Scope.placeholder,,Select an Option
home.feature_product.subtitle,"Your daily dose of QOR, brought to you by <a href=""https://theplant.jp/"">The Plant</a>","你每日使用 QOR的量, 通过 <a href=""https://theplant.jp/""> The Plant</a> 反馈给你"
home.feature_product.title,FEATURED PRODUCTS,特色产品
home.goodness.find_a_store,FIND A STORE,寻找店铺
home.goodness.get_newsletter,GET OUR NEWSLETTER,订阅我们的信件
home.goodness.get_newsletter_info,"Be the first to get new product infos, monthly newsletter exclusive deals and discounts!",订阅邮件获取最新的产品和折扣信息!
home.goodness.subtitle,If you just can't get enough…,如果你仍然没有得到足够的...
home.goodness.title,MORE QOR GOODNESS,更多关于QOR
